"","Week","Adjusted"
"217",2024-05-19,42.2820007324219
"218",2024-05-26,35.8800001144409
"219",2024-06-02,36.4300003051758
"220",2024-06-09,38.6139999389648
"221",2024-06-16,42.5475006103516
"222",2024-06-23,38.1919990539551
"223",2024-06-30,37.1874990463257
"224",2024-07-07,37.1960006713867
"225",2024-07-14,38.2479995727539
"226",2024-07-21,36.5119995117187
"227",2024-07-28,35.4120002746582
"228",2024-08-04,30.8399997711182
"229",2024-08-11,32.326000213623
"230",2024-08-18,35.3499992370605
"231",2024-08-25,34.6319999694824
"232",2024-09-01,34.6925001144409
"233",2024-09-08,37.5099998474121
"234",2024-09-15,38.7620002746582
"235",2024-09-22,40.2339996337891
"236",2024-09-29,38.4799995422363
"237",2024-10-06,38.0119995117187
"238",2024-10-13,37.876000213623
"239",2024-10-20,36.9359992980957
"240",2024-10-27,36.2419998168945
"241",2024-11-03,37.9
"242",2024-11-10,41.5559997558594
"243",2024-11-17,43.1999992370605
"244",2024-11-24,43.1850004196167
"245",2024-12-01,44.3540000915527
"246",2024-12-08,41.4360008239746
"247",2024-12-15,39.692000579834
"248",2024-12-22,38.3224992752075
"249",2024-12-29,37.1499996185303
